nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-5856312625863658,-72,5315778592867660,-128,8107338023708034,-92,4686697999063449,-147,7907020290501275,-135,5814217487679488,-189,8439200629670146,-94,7195580209940157,-152,5100871572324802,-111,7172674914061352,-165,-5578757594646677,-115,4567842240655716,-170,4752199222659385,-111,8107338023695604,-92,-5279662100138609,-72
7013915404427236,-72,6995995035568360,-127,7372383791944419,-91,-6588932800746449,-145,5737806919358209,-131,6972003231727616,-185,7188989512295241,-92,4667431001070546,-146,-6935597414318059,-111,-4593867999185460,-167,6622050074164045,-112,5486849883883823,-168,-7249144754472073,-112,7372383791936409,-91,8856632138631563,-74
-4659951829825776,-74,-7785215621629344,-127,5070041871250114,-94,-6889277155647026,-148,5178018594981752,-138,5910974510923776,-193,4829049866679502,-95,8410945447015387,-150,7188691935167846,-115,-6633781864425349,-169,8946734917282469,-117,5717346342177082,-170,4712687832244232,-114,5070041871240366,-94,-8372340783061900,-73
5068006865346472,-72,7492579054570108,-127,6071021286119151,-90,-5016465539854848,-149,8182305006561198,-130,6510208348061696,-184,6070405734263630,-91,-6105259495189250,-145,-4600309315132789,-111,8632830532069538,-168,6165121612097646,-110,-6455247454927847,-164,7729933909062502,-111,6071021286115776,-90,-5734212718388509,-73
6216917089437436,-74,7194061674311960,-127,7300830167927971,-91,8523486156777280,-150,5691784384812970,-131,5113828580786176,-185,7160100283448117,-92,-4831772696168956,-146,-6691748938346648,-113,6944548892601471,-167,-6326790589340202,-111,8638326134883891,-164,-7999727823926863,-111,7300830167918480,-91,4934722547747489,-72
-5515426130571762,-71,-5343838913341582,-124,7986356368093310,-90,6724297947645952,-149,7356063268393177,-129,-5598713208635392,-186,8139872701025404,-91,7266401698909574,-146,8235709231445487,-111,-7360910882953605,-164,-8513999088202781,-111,-8363748017307376,-164,-8905275416233464,-116,7986356368091027,-90,5021788810529516,-78
-8377703832742758,-73,5286739086987952,-126,8177652577035369,-93,-8663940272268640,-147,7639632948728622,-135,6685030696878080,-190,8295281562568155,-94,7209905717944102,-150,5604920757168452,-112,4659352803510009,-166,-6864046964459332,-116,4744339781549852,-170,5175917821889744,-112,8177652577020702,-93,-5700966470369520,-72
-7672485001439008,-77,6249274006707684,-128,4781984311502837,-99,-5645311440613824,-154,5077237265292092,-140,8395870789697536,-194,4781824323000696,-96,-6437491382746869,-152,6819801598244557,-120,-8587837222687440,-176,5653959837478574,-120,-5344676193645243,-173,6236880717861565,-119,4781984311496365,-99,-5873798792979776,-72
-5692200347350554,-73,-7284502230802592,-126,5164331214234090,-92,-8300759398971648,-153,5479471888026881,-134,8945626603585536,-190,4967629973448603,-93,6768757250662929,-148,-8223126962506792,-113,-7629921375273617,-166,-8588898279289390,-114,7250947967144569,-169,-6258788051075744,-112,5164331214225542,-92,5458030162157725,-72
5410962844157326,-72,-7914138941695204,-127,5069879402475604,-91,-8497718910384060,-146,8164862984593142,-134,5840605766746112,-190,6063932213914073,-93,-6891342882174042,-151,-5180549309764743,-111,-4636386728551146,-167,5450582277728811,-113,7096375321062151,-167,-7635807480665080,-112,5069879402468095,-91,6782926573727808,-73
