nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
8537465258120158,-53,4503599627370496,-52,7485412502610316,-54,5806143380719277,-53,-6906430453751061,-55,6618033690022256,-56,-7194827217479866,-56,8275077184556866,-53,7831376180057371,-56
5695319267883217,-53,4503599627370496,-52,5792469557447108,-54,5107539891226865,-53,7192951743477308,-55,6338205942734779,-54,4967340907236716,-53,7068872238293372,-53,-6329415472433117,-53
6805125351660049,-55,4503599627370496,-52,8590090143065696,-54,6219833339197252,-53,-6121424442460194,-58,6026899847373282,-53,5835605333546401,-53,8778414118845053,-53,-5987694280501450,-53
5698792750512861,-54,4503599627370497,-52,6885728623006338,-54,5568713034512167,-53,5174068585052530,-56,4982480437891889,-53,5629239011023455,-53,8111994933058150,-53,-6250457235645061,-53
-7760930911248912,-57,4503599627370497,-52,6650566223265588,-55,7739701230009038,-54,-6209600419377102,-58,6325768168965164,-54,5937668142754095,-54,6042953976949353,-53,-8850267646306493,-54
5767461830390215,-54,4503599627370496,-52,7526970112165816,-55,8233888485081496,-54,8534128504312450,-56,-6597330424161297,-54,-8927596596166369,-55,6705759317827213,-53,5995789409995786,-54
-7150079630565705,-53,4503599627370497,-52,7782726699110730,-54,5920328121146791,-53,5118701666062993,-55,-6553757623101020,-54,-7988813580139047,-55,8435291505870866,-53,8530450391099348,-55
6820976324328610,-53,9007199254740990,-53,5758417189449344,-60,5092504836389252,-56,6704792325048338,-54,6405194485111691,-60,6804873488878208,-54,5221053407461146,-53,-5869778245328805,-53
-7409330939001068,-55,9007199254740990,-53,6662866161460894,-54,5477853736818351,-53,-6902167541252783,-57,5064706457537080,-53,4633320986208781,-53,8080697580772834,-53,-5164559732226012,-53
-6976043175222172,-53,9007199254740990,-53,6819714836878592,-58,5541954997845027,-55,-6522282594678794,-54,-5084515350412428,-57,-7157847013480348,-54,5876772377938433,-53,5485337030186883,-53
7849984743457485,-53,4503599627370496,-52,4749039748101968,-54,4624691734582933,-53,4940136724247421,-54,-4659514679513576,-55,5220758768981266,-55,7412904898771244,-53,-6343587990848942,-55
-6219986685559436,-53,4503599627370496,-52,4911166986609740,-56,4702970317878894,-54,-5795795620788802,-54,4670078898894545,-56,-4628275896065166,-54,4850360079232289,-53,8594785236722501,-54
-6019013126207196,-53,4503599627370497,-52,6998031130810324,-54,5613940718697028,-53,-6537857661047776,-57,-8295097912098354,-54,-4556165059864663,-53,8938459911438456,-53,4591203287623818,-53
-7923058390766394,-60,4503599627370496,-52,7187027914113812,-55,8045805893247030,-54,-5676877599131717,-61,7097657900529162,-54,7053307294285945,-54,7009824573584575,-53,-4531535956260337,-53
7732673125141215,-53,9007199254740991,-53,7703329162241936,-54,5890051811706333,-53,5867868343286351,-55,5149216952914027,-54,8083151124557202,-54,8359465990717019,-53,-8709474129797325,-54
6256668813162467,-54,4503599627370496,-52,7627052604312664,-56,5860818310331560,-54,5571482589765997,-55,-8059341780671832,-55,-4975718381811670,-56,5344583325231044,-53,8385553030650466,-56
-7970507082802065,-53,4503599627370496,-52,8422116728248212,-55,8709746466919628,-54,-5499370854726932,-54,-5988991524825318,-59,-5686526839877723,-54,7057292956988059,-53,7257695071804278,-54
